Book Id  ,Title                                                                                                      ,Author                   ,Author l-f                  ,Additional Authors                                                                                                                                                                                                                                                          ,ISBN              ,ISBN13               ,My Rating ,Average Rating ,Publisher                                   ,Binding               ,Number of Pages ,Year Published ,Original Publication Year ,Date Read  ,Date Added ,Bookshelves       ,Bookshelves with positions ,Exclusive Shelf   ,My Review                                                                                                                                                                                                                                                                                                            ,Spoiler ,Private Notes ,Read Count ,Owned Copies ,PublishedDate ,PageCount ,Categories                              ,AverageRating ,RatingsCount ,Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,ImageURL
 8029973 ,"Your Story (The Dresden Files Roleplaying Game, #1)"                                                      ,Leonard Balsera          ,"Balsera, Leonard"          ,"Jim Butcher, Genevieve Cogman, Rob Donoghue, Fred Hicks, Kenneth Hite, Ryan Macklin, Chad Underkoffler, Clark Valentine"                                                                                                                                                   ,                  ,"=""9780977153473""" ,        4 ,          4.25 ,                                            ,Hardcover             ,          416.0 ,        2010.0 ,                   2010.0 ,           ,2019/10/08 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
44148177 ,Monsterjäger: Die Eisraben-Chroniken 2                                                                     ,Richard Schwartz         ,"Schwartz, Richard"         ,                                                                                                                                                                                                                                                                            ,                  ,"="""""              ,        4 ,          4.49 ,                                            ,Kindle Edition        ,          520.0 ,        2019.0 ,                   2019.0 ,           ,2019/05/24 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
43768160 ,Die Dynastie der Maschinen: Roman (German Edition)                                                         ,Daniel H. Wilson         ,"Wilson, Daniel H."         ,Oliver Plaschka                                                                                                                                                                                                                                                             ,                  ,"="""""              ,        0 ,          3.66 ,                                            ,Kindle Edition        ,          416.0 ,        2019.0 ,                   2017.0 ,           ,2019/06/03 ,to-read           ,to-read (#23)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
40208446 ,"Fauler Zauber (Derkholm, #1)"                                                                             ,Diana Wynne Jones        ,"Jones, Diana Wynne"        ,Eva Bauche-Eppers                                                                                                                                                                                                                                                           ,                  ,"=""9783426522905""" ,        0 ,          4.11 ,                                            ,Paperback             ,          480.0 ,        2019.0 ,                   1998.0 ,           ,2019/06/03 ,to-read           ,to-read (#22)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
35015413 ,"Die Gabe der Könige (Die Chronik der Weitseher, #1)"                                                      ,Robin Hobb               ,"Hobb, Robin"               ,Eva Bauche-Eppers                                                                                                                                                                                                                                                           ,                  ,"="""""              ,        4 ,          4.18 ,                                            ,Paperback             ,          608.0 ,        2017.0 ,                   1995.0 ,2019/05/21 ,2019/05/21 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
39714124 ,"Empire of Sand (The Books of Ambha, #1)"                                                                  ,Tasha Suri               ,"Suri, Tasha"               ,                                                                                                                                                                                                                                                                            ,                  ,"="""""              ,        0 ,          3.82 ,                                            ,Kindle Edition        ,          393.0 ,        2018.0 ,                   2018.0 ,           ,2019/05/21 ,to-read           ,to-read (#21)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
43375416 ,"Der Galgen von Tyburn (Peter Grant, #6)"                                                                  ,Ben Aaronovitch          ,"Aaronovitch, Ben"          ,Christine Blum                                                                                                                                                                                                                                                              ,                  ,"="""""              ,        0 ,          4.22 ,                                            ,Kindle Edition        ,          416.0 ,        2017.0 ,                   2016.0 ,           ,2019/05/21 ,to-read           ,to-read (#20)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
42197003 ,Fingerhut-Sommer: Roman (Die Flüsse-von-London-Reihe (Peter Grant) 5) (German Edition)                     ,Ben Aaronovitch          ,"Aaronovitch, Ben"          ,Christine Blum                                                                                                                                                                                                                                                              ,                  ,"="""""              ,        0 ,          4.2  ,                                            ,Kindle Edition        ,          406.0 ,        2015.0 ,                   2014.0 ,           ,2019/05/21 ,to-read           ,to-read (#19)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
42196999 ,Der böse Ort (Die Flüsse-von-London-Reihe (Peter Grant) #4)                                                ,Ben Aaronovitch          ,"Aaronovitch, Ben"          ,Christine Blum                                                                                                                                                                                                                                                              ,                  ,"="""""              ,        0 ,          4.17 ,                                            ,Kindle Edition        ,          395.0 ,        2014.0 ,                   2013.0 ,           ,2019/05/21 ,to-read           ,to-read (#18)              ,to-read           ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         0 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
41842783 ,Ein Wispern unter Baker Street: Roman (Die Flüsse-von-London-Reihe #3)                                     ,Ben Aaronovitch          ,"Aaronovitch, Ben"          ,Christine Blum                                                                                                                                                                                                                                                              ,                  ,"="""""              ,        4 ,          4.15 ,                                            ,Kindle Edition        ,          430.0 ,        2013.0 ,                   2012.0 ,           ,2019/05/21 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
42193232 ,Schwarzer Mond über Soho (Die Flüsse-von-London #2)                                                        ,Ben Aaronovitch          ,"Aaronovitch, Ben"          ,Christine Blum                                                                                                                                                                                                                                                              ,                  ,"="""""              ,        4 ,          4.09 ,                                            ,Kindle Edition        ,          408.0 ,        2012.0 ,                   2011.0 ,           ,2019/05/21 ,                  ,                           ,read              ,                                                                                                                                                                                                                                                                                                                     ,        ,              ,         1 ,           0 ,              ,          ,                                        ,              ,             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,
